codeProduit;libelle;categorieProduit;fabricant;marque;modele;tags;description;typeProduit;poids;volume;uniteDeMesure;prixVente;codeBarre;conditionnementVente;perissable;soumisALaVente;reapprovisionnementAuto;actif
P023;Détecteur de faux billets;Matériel;Cassida;Pro-45;Pro-45;"sécurité; billets";Vérifie l’authenticité des billets;Stockable;2;0.05;kg;265;279614489803;Boîte;Non;Non;Oui;Oui
P024;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;71;260854555637;Unité;Non;Oui;Oui;Oui
P025;Agrafeuse de billets;Fournitures;Rapid;HD-50;HD-50;"billets; agrafage";Agrafeuse pour regrouper les billets;Accessoire;1;0.02;kg;29;666005215714;Unité;Non;Oui;Oui;Oui
P026;Compteur de billets;Matériel;Safescan;X-2000;X-2000;"billets; banque";Machine pour compter les billets;Stockable;5;0.1;kg;522;682404417604;Boîte;Non;Non;Oui;Oui
P027;Tampon encreur;Fournitures;Trodat;Bank-01;Bank-01;"tampon; signature";Tampon utilisé pour valider les documents;Accessoire;0.3;0.005;kg;42;813749482402;Unité;Non;Oui;Oui;Oui
P028;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;121;943702674341;Unité;Non;Oui;Oui;Oui
P029;Scanner de documents;Matériel;Fujitsu;ScanSnap;iX1600;"scanner; documents";Scanner rapide pour numérisation de documents;Stockable;4;0.15;kg;363;451277744504;Unité;Non;Non;Oui;Oui
P030;Scanner de documents;Matériel;Fujitsu;ScanSnap;iX1600;"scanner; documents";Scanner rapide pour numérisation de documents;Stockable;4;0.15;kg;392;840310284374;Unité;Non;Non;Oui;Oui
P031;Tampon encreur;Fournitures;Trodat;Bank-01;Bank-01;"tampon; signature";Tampon utilisé pour valider les documents;Accessoire;0.3;0.005;kg;6;286908925432;Unité;Non;Oui;Oui;Oui
P032;Scanner de documents;Matériel;Fujitsu;ScanSnap;iX1600;"scanner; documents";Scanner rapide pour numérisation de documents;Stockable;4;0.15;kg;382;422458427011;Unité;Non;Non;Oui;Oui
P033;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;144;550479183116;Unité;Non;Oui;Oui;Oui
P034;Rouleaux de papier thermique;Fournitures;Epson;R-80;R-80;"papier; reçu";Rouleaux de papier pour imprimantes de reçus;Consommable;0.5;0.01;kg;4;884297440984;Lot de 10;Non;Oui;Oui;Oui
P035;Tampon encreur;Fournitures;Trodat;Bank-01;Bank-01;"tampon; signature";Tampon utilisé pour valider les documents;Accessoire;0.3;0.005;kg;46;481674661712;Unité;Non;Oui;Oui;Oui
P036;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;133;464534439200;Unité;Non;Oui;Oui;Oui
P037;Coffre-fort bancaire;Matériel;Chubbsafes;Banker;Banker-200;"sécurité; coffre";Coffre-fort résistant aux effractions;Stockable;100;1.5;kg;2001;773648696486;Unité;Non;Non;Non;Oui
P038;Scanner de documents;Matériel;Fujitsu;ScanSnap;iX1600;"scanner; documents";Scanner rapide pour numérisation de documents;Stockable;4;0.15;kg;392;473242066322;Unité;Non;Non;Oui;Oui
P039;Coffre-fort bancaire;Matériel;Chubbsafes;Banker;Banker-200;"sécurité; coffre";Coffre-fort résistant aux effractions;Stockable;100;1.5;kg;2035;606273727846;Unité;Non;Non;Non;Oui
P040;Détecteur de faux billets;Matériel;Cassida;Pro-45;Pro-45;"sécurité; billets";Vérifie l’authenticité des billets;Stockable;2;0.05;kg;331;519946240290;Boîte;Non;Non;Oui;Oui
P041;Coffre-fort bancaire;Matériel;Chubbsafes;Banker;Banker-200;"sécurité; coffre";Coffre-fort résistant aux effractions;Stockable;100;1.5;kg;1988;914092849668;Unité;Non;Non;Non;Oui
P042;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;82;182037771189;Unité;Non;Oui;Oui;Oui
P043;Rouleaux de papier thermique;Fournitures;Epson;R-80;R-80;"papier; reçu";Rouleaux de papier pour imprimantes de reçus;Consommable;0.5;0.01;kg;18;644373679170;Lot de 10;Non;Oui;Oui;Oui
P044;Tampon encreur;Fournitures;Trodat;Bank-01;Bank-01;"tampon; signature";Tampon utilisé pour valider les documents;Accessoire;0.3;0.005;kg;-18;722446526041;Unité;Non;Oui;Oui;Oui
P045;Détecteur de faux billets;Matériel;Cassida;Pro-45;Pro-45;"sécurité; billets";Vérifie l’authenticité des billets;Stockable;2;0.05;kg;303;639809405941;Boîte;Non;Non;Oui;Oui
P046;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;155;377939215597;Unité;Non;Oui;Oui;Oui
P047;Agrafeuse de billets;Fournitures;Rapid;HD-50;HD-50;"billets; agrafage";Agrafeuse pour regrouper les billets;Accessoire;1;0.02;kg;67;124985502549;Unité;Non;Oui;Oui;Oui
P048;Rouleaux de papier thermique;Fournitures;Epson;R-80;R-80;"papier; reçu";Rouleaux de papier pour imprimantes de reçus;Consommable;0.5;0.01;kg;-13;594204500766;Lot de 10;Non;Oui;Oui;Oui
P049;Coffre-fort bancaire;Matériel;Chubbsafes;Banker;Banker-200;"sécurité; coffre";Coffre-fort résistant aux effractions;Stockable;100;1.5;kg;1965;195647010183;Unité;Non;Non;Non;Oui
P050;Rouleaux de papier thermique;Fournitures;Epson;R-80;R-80;"papier; reçu";Rouleaux de papier pour imprimantes de reçus;Consommable;0.5;0.01;kg;25;228166673624;Lot de 10;Non;Oui;Oui;Oui
P051;Agrafeuse de billets;Fournitures;Rapid;HD-50;HD-50;"billets; agrafage";Agrafeuse pour regrouper les billets;Accessoire;1;0.02;kg;4;344761223588;Unité;Non;Oui;Oui;Oui
P052;Rouleaux de papier thermique;Fournitures;Epson;R-80;R-80;"papier; reçu";Rouleaux de papier pour imprimantes de reçus;Consommable;0.5;0.01;kg;-11;628707944642;Lot de 10;Non;Oui;Oui;Oui
P053;Détecteur de faux billets;Matériel;Cassida;Pro-45;Pro-45;"sécurité; billets";Vérifie l’authenticité des billets;Stockable;2;0.05;kg;326;493597509083;Boîte;Non;Non;Oui;Oui
P054;Tirelire bancaire;Fournitures;Durable;BankSafe;BS-100;"argent; économie";Tirelire sécurisée pour les clients;Accessoire;0.8;0.03;kg;66;634778455641;Unité;Non;Oui;Oui;Oui
P055;Compteur de billets;Matériel;Safescan;X-2000;X-2000;"billets; banque";Machine pour compter les billets;Stockable;5;0.1;kg;454;665702736859;Boîte;Non;Non;Oui;Oui
P056;Rouleaux de papier thermique;Fournitures;Epson;R-80;R-80;"papier; reçu";Rouleaux de papier pour imprimantes de reçus;Consommable;0.5;0.01;kg;8;120265576782;Lot de 10;Non;Oui;Oui;Oui
P057;Agrafeuse de billets;Fournitures;Rapid;HD-50;HD-50;"billets; agrafage";Agrafeuse pour regrouper les billets;Accessoire;1;0.02;kg;24;211554256812;Unité;Non;Oui;Oui;Oui
P058;Agrafeuse de billets;Fournitures;Rapid;HD-50;HD-50;"billets; agrafage";Agrafeuse pour regrouper les billets;Accessoire;1;0.02;kg;44;715443852680;Unité;Non;Oui;Oui;Oui
P059;Détecteur de faux billets;Matériel;Cassida;Pro-45;Pro-45;"sécurité; billets";Vérifie l’authenticité des billets;Stockable;2;0.05;kg;331;960969281793;Boîte;Non;Non;Oui;Oui
P060;Détecteur de faux billets;Matériel;Cassida;Pro-45;Pro-45;"sécurité; billets";Vérifie l’authenticité des billets;Stockable;2;0.05;kg;265;741358051031;Boîte;Non;Non;Oui;Oui
P061;Coffre-fort bancaire;Matériel;Chubbsafes;Banker;Banker-200;"sécurité; coffre";Coffre-fort résistant aux effractions;Stockable;100;1.5;kg;2027;101412910945;Unité;Non;Non;Non;Oui
P062;Compteur de billets;Matériel;Safescan;X-2000;X-2000;"billets; banque";Machine pour compter les billets;Stockable;5;0.1;kg;536;401034252849;Boîte;Non;Non;Oui;Oui
P063;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;100;855148567844;Unité;Non;Oui;Oui;Oui
P064;Agrafeuse de billets;Fournitures;Rapid;HD-50;HD-50;"billets; agrafage";Agrafeuse pour regrouper les billets;Accessoire;1;0.02;kg;99;309206125550;Unité;Non;Oui;Oui;Oui
P065;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;90;202354602000;Unité;Non;Oui;Oui;Oui
P066;Imprimante de reçus;Matériel;Epson;TM-T88;TM-T88V;"imprimante; reçu";Imprimante thermique pour reçus bancaires;Stockable;3;0.2;kg;295;152248652459;Unité;Non;Oui;Oui;Oui
P067;Scanner de documents;Matériel;Fujitsu;ScanSnap;iX1600;"scanner; documents";Scanner rapide pour numérisation de documents;Stockable;4;0.15;kg;418;767334342234;Unité;Non;Non;Oui;Oui
P068;Rouleaux de papier thermique;Fournitures;Epson;R-80;R-80;"papier; reçu";Rouleaux de papier pour imprimantes de reçus;Consommable;0.5;0.01;kg;50;809986035757;Lot de 10;Non;Oui;Oui;Oui
P069;Scanner de documents;Matériel;Fujitsu;ScanSnap;iX1600;"scanner; documents";Scanner rapide pour numérisation de documents;Stockable;4;0.15;kg;368;858827386081;Unité;Non;Non;Oui;Oui
P070;Détecteur de faux billets;Matériel;Cassida;Pro-45;Pro-45;"sécurité; billets";Vérifie l’authenticité des billets;Stockable;2;0.05;kg;251;216272642163;Boîte;Non;Non;Oui;Oui
P071;Tirelire bancaire;Fournitures;Durable;BankSafe;BS-100;"argent; économie";Tirelire sécurisée pour les clients;Accessoire;0.8;0.03;kg;15;176831636786;Unité;Non;Oui;Oui;Oui
P072;Agrafeuse de billets;Fournitures;Rapid;HD-50;HD-50;"billets; agrafage";Agrafeuse pour regrouper les billets;Accessoire;1;0.02;kg;58;590014771362;Unité;Non;Oui;Oui;Oui
P073;Détecteur de faux billets;Matériel;Cassida;Pro-45;Pro-45;"sécurité; billets";Vérifie l’authenticité des billets;Stockable;2;0.05;kg;272;888101068409;Boîte;Non;Non;Oui;Oui
P074;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;85;684166293061;Unité;Non;Oui;Oui;Oui
P075;Compteur de billets;Matériel;Safescan;X-2000;X-2000;"billets; banque";Machine pour compter les billets;Stockable;5;0.1;kg;470;249257748788;Boîte;Non;Non;Oui;Oui
P076;Tirelire bancaire;Fournitures;Durable;BankSafe;BS-100;"argent; économie";Tirelire sécurisée pour les clients;Accessoire;0.8;0.03;kg;11;516143567994;Unité;Non;Oui;Oui;Oui
P077;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;77;858204393027;Unité;Non;Oui;Oui;Oui
P078;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;147;184098671425;Unité;Non;Oui;Oui;Oui
P079;Agrafeuse de billets;Fournitures;Rapid;HD-50;HD-50;"billets; agrafage";Agrafeuse pour regrouper les billets;Accessoire;1;0.02;kg;51;165072151087;Unité;Non;Oui;Oui;Oui
P080;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;129;238756622746;Unité;Non;Oui;Oui;Oui
P081;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;91;219035892630;Unité;Non;Oui;Oui;Oui
P082;Scanner de documents;Matériel;Fujitsu;ScanSnap;iX1600;"scanner; documents";Scanner rapide pour numérisation de documents;Stockable;4;0.15;kg;433;144927749179;Unité;Non;Non;Oui;Oui
P083;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;132;531285343159;Unité;Non;Oui;Oui;Oui
P084;Tampon encreur;Fournitures;Trodat;Bank-01;Bank-01;"tampon; signature";Tampon utilisé pour valider les documents;Accessoire;0.3;0.005;kg;58;375000072686;Unité;Non;Oui;Oui;Oui
P085;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;151;867476702413;Unité;Non;Oui;Oui;Oui
P086;Rouleaux de papier thermique;Fournitures;Epson;R-80;R-80;"papier; reçu";Rouleaux de papier pour imprimantes de reçus;Consommable;0.5;0.01;kg;6;778380239988;Lot de 10;Non;Oui;Oui;Oui
P087;Rouleaux de papier thermique;Fournitures;Epson;R-80;R-80;"papier; reçu";Rouleaux de papier pour imprimantes de reçus;Consommable;0.5;0.01;kg;-7;788199538488;Lot de 10;Non;Oui;Oui;Oui
P088;Tampon encreur;Fournitures;Trodat;Bank-01;Bank-01;"tampon; signature";Tampon utilisé pour valider les documents;Accessoire;0.3;0.005;kg;64;283021224181;Unité;Non;Oui;Oui;Oui
P089;Agrafeuse de billets;Fournitures;Rapid;HD-50;HD-50;"billets; agrafage";Agrafeuse pour regrouper les billets;Accessoire;1;0.02;kg;93;855876756582;Unité;Non;Oui;Oui;Oui
P090;Coffre-fort bancaire;Matériel;Chubbsafes;Banker;Banker-200;"sécurité; coffre";Coffre-fort résistant aux effractions;Stockable;100;1.5;kg;1995;110024063608;Unité;Non;Non;Non;Oui
P091;Imprimante de reçus;Matériel;Epson;TM-T88;TM-T88V;"imprimante; reçu";Imprimante thermique pour reçus bancaires;Stockable;3;0.2;kg;256;280431005318;Unité;Non;Oui;Oui;Oui
P092;Rouleaux de papier thermique;Fournitures;Epson;R-80;R-80;"papier; reçu";Rouleaux de papier pour imprimantes de reçus;Consommable;0.5;0.01;kg;-18;278875311747;Lot de 10;Non;Oui;Oui;Oui
P093;Agrafeuse de billets;Fournitures;Rapid;HD-50;HD-50;"billets; agrafage";Agrafeuse pour regrouper les billets;Accessoire;1;0.02;kg;100;604005859985;Unité;Non;Oui;Oui;Oui
P094;Imprimante de reçus;Matériel;Epson;TM-T88;TM-T88V;"imprimante; reçu";Imprimante thermique pour reçus bancaires;Stockable;3;0.2;kg;220;665524652579;Unité;Non;Oui;Oui;Oui
P095;Scanner de documents;Matériel;Fujitsu;ScanSnap;iX1600;"scanner; documents";Scanner rapide pour numérisation de documents;Stockable;4;0.15;kg;441;209769342790;Unité;Non;Non;Oui;Oui
P096;Tirelire bancaire;Fournitures;Durable;BankSafe;BS-100;"argent; économie";Tirelire sécurisée pour les clients;Accessoire;0.8;0.03;kg;-9;159061182004;Unité;Non;Oui;Oui;Oui
P097;Scanner de documents;Matériel;Fujitsu;ScanSnap;iX1600;"scanner; documents";Scanner rapide pour numérisation de documents;Stockable;4;0.15;kg;364;119884708215;Unité;Non;Non;Oui;Oui
P098;Tampon encreur;Fournitures;Trodat;Bank-01;Bank-01;"tampon; signature";Tampon utilisé pour valider les documents;Accessoire;0.3;0.005;kg;-9;716000773967;Unité;Non;Oui;Oui;Oui
P099;Scanner de documents;Matériel;Fujitsu;ScanSnap;iX1600;"scanner; documents";Scanner rapide pour numérisation de documents;Stockable;4;0.15;kg;380;263362763377;Unité;Non;Non;Oui;Oui
P100;Compteur de billets;Matériel;Safescan;X-2000;X-2000;"billets; banque";Machine pour compter les billets;Stockable;5;0.1;kg;472;713788729343;Boîte;Non;Non;Oui;Oui
